Rangking,kotaFuzzyWp,persentaseFuzzyWp,kotaFuzzyTopsis,persentaseFuzzyTopsis
1,Kota Semarang,4.86%,Kota Semarang,7.99%
2,Kabupaten Semarang,4.29%,Kabupaten Semarang,5.00%
3,Kabupaten Pati,4.07%,Kabupaten Pati,4.93%
4,Kabupaten Klaten,3.90%,Kabupaten Klaten,4.48%
5,Kabupaten Brebes,3.67%,Kabupaten Blora,4.02%
6,Kabupaten Kebumen,3.62%,Kabupaten Cilacap,3.98%
7,Kabupaten Jepara,3.45%,Kabupaten Jepara,3.95%
8,Kabupaten Cilacap,3.37%,Kabupaten Kebumen,3.76%
9,Kabupaten Batang,3.35%,Kabupaten Brebes,3.69%
10,Kabupaten Pekalongan,3.34%,Kabupaten Pemalang,3.58%
11,Kabupaten Sukoharjo,3.21%,Kabupaten Sukoharjo,3.20%
12,Kabupaten Sragen,3.20%,Kota Surakarta,3.13%
13,Kabupaten Blora,3.19%,Kabupaten Batang,3.12%
14,Kabupaten Tegal,3.10%,Kabupaten Pekalongan,3.10%
15,Kabupaten Pemalang,3.10%,Kabupaten Tegal,3.05%
16,Kota Surakarta,2.93%,Kabupaten Sragen,3.04%
17,Kabupaten Demak,2.88%,Kabupaten Kendal,2.88%
18,Kabupaten Wonosobo,2.76%,Kabupaten Demak,2.75%
19,Kabupaten Grobogan,2.72%,Kabupaten Purbalingga,2.58%
20,Kabupaten Boyolali,2.71%,Kabupaten Magelang,2.41%
21,Kabupaten Purbalingga,2.64%,Kabupaten Boyolali,2.41%
22,Kabupaten Kendal,2.58%,Kabupaten Grobogan,2.39%
23,Kabupaten Banyumas,2.53%,Kabupaten Banyumas,2.38%
24,Kabupaten Magelang,2.48%,Kabupaten Wonosobo,2.33%
25,Kota Pekalongan,2.34%,Kabupaten Rembang,1.97%
26,Kabupaten Karanganyar,2.28%,Kota Pekalongan,1.80%
27,Kabupaten Purworejo,2.21%,Kabupaten Karanganyar,1.72%
28,Kabupaten Rembang,2.17%,Kabupaten Purworejo,1.68%
29,Kabupaten Wonogiri,2.16%,Kabupaten Wonogiri,1.65%
30,Kabupaten Kudus,1.94%,Kota Tegal,1.41%
31,Kabupaten Temanggung,1.91%,Kabupaten Kudus,1.41%
32,Kota Tegal,1.83%,Kabupaten Banjarnegara,1.27%
33,Kabupaten Banjarnegara,1.81%,Kabupaten Temanggung,1.20%
34,Kota Magelang,1.78%,Kota Salatiga,0.87%
35,Kota Salatiga,1.62%,Kota Magelang,0.87%
